label,area,area_convex,centroid,solidity,volume_um,surface_area_um,sphericity,ellipsoid_r_axis_major,ellipsoid_r_axis_medium,ellipsoid_r_axis_minor,aspect_ratio_minor_per_medium,aspect_ratio_medium_per_major,aspect_ratio_minor_per_major,prolate_ratio,oblate_ratio,img_name,organoid,date,magnification,spacing_x_um,spacing_y_um,spacing_z_um,count,relative_z_position,organoid_center,distance_to_organoid_center_um,neighborhood_density,nuc_count_per_organoid
6,11288.0,12329.0,"(112.62712615166548, 161.21686746987953, 126.33708362863217)",0.9155649282180226,383.92998451200003,300.205721107892,0.8509417803844457,18.645753690265224,13.848476802054579,10.573041453635192,0.76348046104728,0.74271477742864,0.567048220697846,0.42115509302690707,0.4329302369744313,20240305_P013T_B005,P013T_B005,20240305,40x,0.324,0.324,0.324,13,0.6869657181563317,"(99.50416895959444, 162.43882468691115, 96.44460286490903)",10.58476606698803,0,13
7,2565.0,3425.0,"(107.45575048732944, 163.03313840155946, 101.10214424951268)",0.7489051094890511,87.24135456,139.14225401425995,0.6836597683169869,12.080316109131358,9.659862889360417,5.96022294177355,0.617009062140858,0.7996365990835826,0.49338302805406664,0.39452712659871364,0.3044217994158563,20240305_P013T_B005,P013T_B005,20240305,40x,0.324,0.324,0.324,13,0.6412013317462782,"(99.50416895959444, 162.43882468691115, 96.44460286490903)",2.991935178905751,0,13
8,1823.0,3362.0,"(106.6023038946791, 196.24190894130555, 110.43280307185957)",0.5422367638310529,62.004284352,122.01757939756888,0.6208826425756822,15.990036844838606,7.153262356771066,5.5381874305982475,0.7742184131350871,0.44735746553830197,0.34635238707319854,0.15494332606420705,0.26815239550536124,20240305_P013T_B005,P013T_B005,20240305,40x,0.324,0.324,0.324,13,0.6336487070325584,"(99.50416895959444, 162.43882468691115, 96.44460286490903)",12.073953659659974,1,13
9,9663.0,11051.0,"(116.68622580978992, 150.41964193314706, 83.79550864120874)",0.8744005067414714,328.660120512,283.5023272358563,0.8123792766866975,17.493078688739153,13.37784529593103,10.406468163276333,0.7778882124194946,0.7647507642289845,0.5948906049325271,0.454943044754793,0.4627583892561153,20240305_P013T_B005,P013T_B005,20240305,40x,0.324,0.324,0.324,13,0.7228869540689373,"(99.50416895959444, 162.43882468691115, 96.44460286490903)",7.934252725678972,0,13
10,13754.0,15454.0,"(122.55372982405119, 143.7497455285735, 107.4067907517813)",0.8899961175100297,467.804128896,355.52949539776233,0.8196929285279811,18.54109916269125,14.516298296430696,12.843206401630296,0.8847439022927915,0.7829254441204146,0.6926885126354126,0.5423234613921899,0.6128519377424446,20240305_P013T_B005,P013T_B005,20240305,40x,0.324,0.324,0.324,13,0.7748117683544353,"(99.50416895959444, 162.43882468691115, 96.44460286490903)",10.249536565197046,0,13
11,7726.0,8937.0,"(121.96764172922599, 180.09487444990938, 82.95909914574165)",0.8644959158554325,262.778442624,242.82475665931173,0.8170544228614699,16.611157571425252,12.53684093419263,9.251770277673103,0.7379666318043553,0.7547240991656524,0.5569612014028528,0.42035204099898754,0.4110187818449704,20240305_P013T_B005,P013T_B005,20240305,40x,0.324,0.324,0.324,13,0.7696251480462477,"(99.50416895959444, 162.43882468691115, 96.44460286490903)",10.236567147707976,0,13
12,2228.0,3838.0,"(113.57854578096948, 195.97127468581687, 99.42953321364452)",0.5805106826472121,75.779235072,169.6395323549238,0.5104938753400052,15.31859954420244,9.288258652735605,5.641200366172911,0.6073474670638558,0.6063386294506856,0.3682582307798437,0.22328919093498473,0.2236607036895549,20240305_P013T_B005,P013T_B005,20240305,40x,0.324,0.324,0.324,13,0.6953853608935352,"(99.50416895959444, 162.43882468691115, 96.44460286490903)",11.822329331542349,1,13
13,13719.0,15943.0,"(134.25001822290255, 169.81296012828923, 102.95473431008091)",0.8605030420874364,466.613701056,372.2627149935297,0.7815190617555332,20.79266737824026,13.3238946043204,12.326295307553917,0.9251270498309855,0.6407977563409681,0.5928193378620346,0.37987730161753014,0.5484332051190622,20240305_P013T_B005,P013T_B005,20240305,40x,0.324,0.324,0.324,13,0.8783187453354208,"(99.50416895959444, 162.43882468691115, 96.44460286490903)",11.7000959148803,0,13
1,9135.0,10032.0,"(26.45462506841817, 63.9064039408867, 111.73563218390805)",0.9105861244019139,310.70166624,258.99683413882644,0.8565486939164348,15.85399819068458,13.834573850579291,10.219964910662853,0.7387263981560889,0.8726236551930571,0.6446301297465679,0.5625195000670247,0.4762052938905743,20241009_P013T_A001a,P013T_A001a,20241009,40x,0.324,0.324,0.324,17,0.08548227662998636,"(85.24164284259253, 79.10590883867297, 91.53495641423685)",20.73348304934206,0,17
2,22504.0,24647.0,"(39.835673658016354, 86.19458762886597, 82.56376644152151)",0.9130522984541729,765.411088896,495.0598264120686,0.8173779901528414,26.441257836451214,17.429903381294697,12.044324581843929,0.6910149940802067,0.6591934275254597,0.4555125424192167,0.3002708741181598,0.3147659968032749,20241009_P013T_A001a,P013T_A001a,20241009,40x,0.324,0.324,0.324,17,0.1853408481941519,"(85.24164284259253, 79.10590883867297, 91.53495641423685)",15.170791517703233,0,17
